"","claim","entity","name","X","year","dyad","claimdy","dispnum3","mid1","window5","window10","window20","claim1","outstanding.claim.5","outstanding.claim.10","outstanding.claim.20","X.1","loser","gainer","month","gaintype","procedur","contgain","area","pop","portion","losetype","contlose","entry","exit","number","indep","conflict","version","agreement","nonviolent.agreement","arbadj2","arbadj0","rivnumb","rivalry","totdisp","rivtyp2","rivtypold","scale","rivals","conttype","cap1","cap2","caprat","polity1","polity2","joint.dem","DispNum3","DispNum41","StAbb1","ccode1","StDay1","StMon1","StYear1","EndDay1","EndMon1","EndYear1","SideA1","RevState1","RevType11","RevType21","Fatality1","FataPre1","HiAct1","HostLev1","Orig1","DispNum42","StAbb2","ccode2","SideA2","RevState2","RevType12","RevType22","Fatality2","FataPre2","HiAct2","HostLev2","Orig2","region","chal","tgt","begclaim","endclaim","resolved","endviol","icowsal","icowsalc","salchal","saltgt","saltan","salint","salintc","salintt","midsiss","midsfat","warsiss","existing.claim","new.claim.1","new.claim.5","new.claim.10","new.claim.20","cname","match","partial"
"385",NA,615,NA,3568,1830,220640,NA,NA,0,0,0,0,0,0,0,0,18274,640,220,9,0,1,0,275317,73200,0,1,1,0,0,65,0,0,4.01,0,0,0,0,575,220640,3,"RIVALRY","PROTO",NA,1,0,0.1401243,0.0543527,2.5780559199451,-1,-10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"386",NA,433,NA,270,1817,200220,NA,NA,0,0,0,0,0,0,0,0,4124,200,220,NA,0,3,0,7819,100000,1,0,0,0,0,28,0,0,4.01,1,1,0,0,NA,NA,NA,NA,NA,NA,0,3,0.1144892,0.3279875,0.349065741834674,-4,-2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"387",NA,521,NA,35800,1960,200520,NA,NA,0,0,0,0,0,1,1,1,6824,200,520,7,1,5,1,176120,650000,1,0,0,0,0,707,0,0,4.01,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0.0002528,0.0423343,0.00597151718582804,7,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"388",NA,305,NA,25743,1919,305325,NA,NA,0,0,0,0,0,0,0,0,31115,305,325,9,1,3,1,18941,1178786,0,1,1,0,0,490,0,1,4.01,1,0,0,0,NA,NA,NA,NA,NA,NA,0,1,0.0449902,0.0065604,6.85784403390037,-1,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"389",NA,760,NA,23400,1910,200760,NA,NA,0,0,0,0,0,0,0,0,10893,760,200,1,0,3,0,46600,250000,1,1,NA,0,0,430,0,0,4.01,1,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0.1163184,NA,NA,8,-10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"390",NA,761,NA,5763,1839,200761,NA,NA,0,0,0,0,0,0,0,0,11018,761,200,NA,0,2,0,3016,NA,0,1,1,0,0,74,0,0,4.01,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0.3093704,NA,NA,3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"391",NA,530,NA,15845,1879,530651,NA,NA,0,0,0,0,0,0,0,0,41084,530,651,12,1,1,1,468000,325000,0,1,1,0,0,248,0,1,4.01,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0.0054937,NA,NA,NA,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"392",NA,530,NA,17087,1884,530651,NA,NA,0,0,0,0,0,0,0,0,41089,651,530,NA,1,3,1,468000,NA,0,0,0,0,0,275,0,0,4.01,1,1,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,4,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"393",NA,530,NA,20140,1897,200530,NA,NA,0,0,0,0,1,1,1,1,6957,530,200,NA,0,3,0,20720,NA,0,1,1,0,0,362,0,0,4.01,1,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0.1658213,NA,NA,7,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"394",NA,666,NA,43188,1989,651666,NA,NA,0,0,0,0,0,0,0,0,43548,666,651,3,1,3,1,1,0,0,1,1,0,0,834,0,0,4.01,1,1,0,0,1246,651666,36,"RIVALRY","ENDURING",NA,1,1,0.0084479,0.003031,2.78716595183108,-6,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"395",NA,540,NA,18693,1891,211235,NA,NA,0,0,0,0,0,0,0,1,15190,235,211,5,0,3,0,1,NA,0,0,0,0,0,333,0,0,4.01,1,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0.0161915,0.0048668,3.32692939919454,6,-4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"396",NA,980,NA,32682,1947,2740,NA,NA,0,0,0,0,0,0,0,0,28394,740,2,4,0,6,0,1779,47000,1,0,0,0,0,611,0,0,4.01,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0.3099419,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"397",NA,360,NA,32724,1947,360365,NA,NA,0,0,0,0,1,1,1,1,36443,360,365,2,1,1,1,49987,3500000,0,1,1,0,0,618,0,1,4.01,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,0.1452174,0.0048708,29.8138704114314,NA,-7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"398",NA,775,NA,8992,1852,200775,NA,NA,0,0,0,0,0,0,0,0,11423,775,200,12,0,1,0,83657,870180,0,1,1,0,0,114,0,1,4.01,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0.298614,NA,NA,3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"399",NA,562,NA,6737,1843,200562,NA,NA,0,0,0,0,0,0,0,0,7099,562,200,5,0,1,0,46620,121068,1,1,NA,0,0,88,0,1,4.01,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0.2985971,NA,NA,3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"400",NA,710,NA,10623,1858,365710,NA,NA,0,1,1,1,0,1,1,1,39296,710,365,6,1,3,1,282473,40000,0,1,1,0,0,131,0,0,4.01,1,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0.1208302,NA,NA,-10,-6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"401",NA,710,NA,36748,1963,710770,NA,NA,0,0,0,0,0,0,0,0,46466,710,770,3,1,3,1,1942,9136,0,1,1,0,0,730,0,0,4.01,1,1,0,0,NA,NA,NA,NA,NA,NA,0,1,0.0107416,0.1071027,0.100292522970943,NA,-8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"402",NA,490,NA,19437,1894,211220,NA,NA,0,0,0,0,0,0,0,0,14997,211,220,8,0,3,0,1,NA,0,0,0,0,0,347,0,0,4.01,1,1,0,0,NA,NA,NA,NA,NA,NA,0,1,0.0931334,0.0169171,5.50528163810582,7,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"403",NA,673,NA,24305,1913,640670,NA,NA,0,0,0,0,0,0,0,0,41903,640,670,NA,1,1,1,107120,NA,1,1,1,0,0,451,0,0,4.01,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0.0175788,NA,NA,-1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"404",NA,564,NA,21392,1902,200564,NA,NA,0,0,0,0,0,0,0,0,7550,564,200,5,0,1,0,129153,200000,1,1,NA,0,0,398,0,1,4.01,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0.1612536,NA,NA,8,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"405",NA,711,NA,22302,1905,365710,NA,NA,0,1,1,1,0,0,1,1,39343,365,710,8,1,3,1,939280,5530000,1,1,1,0,0,413,0,1,4.01,1,0,0,0,1010,365710,54,"RIVALRY","ENDURING",1,1,1,0.1101609,0.1631429,0.675241766573967,-6,-8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"406",NA,570,NA,12944,1868,200570,NA,NA,0,0,0,0,0,0,0,0,7712,570,200,12,0,2,0,21885,127700,1,1,NA,0,0,196,0,0,4.01,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0.2531005,NA,NA,3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"407",NA,640,NA,15566,1878,348640,NA,NA,0,0,0,0,0,0,0,0,34999,640,348,7,1,3,1,4610,100000,0,1,1,0,0,241,0,1,4.01,1,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0.0266848,NA,NA,-10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"408",NA,475,NA,47890,2008,471475,NA,NA,0,0,0,0,0,0,0,0,40625,475,471,8,1,3,1,665,300000,0,1,1,0,0,886,0,1,4.01,1,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,-4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"409",NA,812,NA,19210,1893,220812,NA,NA,0,0,0,0,0,0,0,0,19123,812,220,12,0,1,0,255000,600000,1,1,NA,0,0,342,0,1,4.01,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0.0946154,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"410",NA,580,NA,2323,1825,220580,NA,NA,0,0,0,0,0,0,0,0,17289,220,580,NA,1,1,1,1,NA,0,0,0,0,0,52,0,0,4.01,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0.1358082,NA,NA,-4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"411",NA,580,NA,17214,1885,220580,NA,NA,0,0,0,0,0,0,0,0,17349,580,220,12,0,3,0,250,12237,0,1,1,0,0,280,0,1,4.01,1,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0.1010312,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"412",NA,336,NA,7868,1847,336337,NA,NA,0,0,0,0,0,0,0,0,34184,336,337,10,1,2,1,1127,168198,1,1,NA,0,0,102,0,0,4.01,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0.0035343,NA,NA,-10,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"413",NA,490,NA,17203,1885,211235,NA,NA,0,0,0,0,0,0,0,0,15184,211,235,2,0,3,0,7298,NA,0,0,0,0,0,284,0,0,4.01,1,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0.0052974,0.0191295,0.276923076923077,-5,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"414",NA,490,NA,18694,1891,211235,NA,NA,0,0,0,0,0,0,0,1,15191,211,235,5,0,3,0,1,NA,0,0,0,0,0,334,0,0,4.01,1,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0.0048668,0.0161915,0.300577463483927,-4,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"415",NA,760,NA,12216,1865,200760,NA,NA,0,0,0,0,0,0,0,0,10848,760,200,11,0,2,0,8889,NA,0,1,1,0,0,169,0,0,4.01,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0.2564121,NA,NA,3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"416",NA,339,NA,32706,1947,325339,NA,NA,0,0,0,0,0,0,0,0,32908,325,339,2,1,3,1,5,NA,0,1,1,0,0,615,0,1,4.01,1,0,0,0,NA,NA,NA,NA,NA,NA,0,4,0.0008438,0.0182076,0.0463432852215558,-9,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"417",NA,696,NA,38730,1971,696696,NA,NA,0,0,0,0,0,0,0,0,45297,696,696,12,1,5,1,90410,154656,0,1,1,NA,0,770,0,0,4.01,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0.0003327,0.0003327,1,-8,-8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"418",NA,8151,NA,12755,1867,220815,NA,NA,0,0,0,0,0,0,0,0,19293,815,220,NA,0,1,0,33864,477000,0,1,1,0,0,181,0,1,4.01,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0.1166648,NA,NA,-6,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"419",NA,8151,NA,14491,1874,220815,NA,NA,0,0,0,0,0,0,0,0,19300,815,220,3,0,1,0,33864,477000,0,1,1,0,0,220,0,1,4.01,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0.1045917,NA,NA,3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"420",NA,651,NA,27254,1925,325651,NA,NA,0,0,0,0,0,0,0,0,34066,651,325,12,0,3,0,400,NA,0,1,1,0,0,548,0,0,4.01,1,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0.0311098,NA,NA,-6,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"421",NA,602,NA,24920,1916,220230,NA,NA,0,0,0,0,0,0,0,0,16592,220,230,NA,0,3,0,33020,9836,0,0,0,0,0,461,0,0,4.01,1,1,0,0,NA,NA,NA,NA,NA,NA,0,1,0.0099366,0.085814,0.115792294963526,6,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"422",NA,698,NA,37556,1967,200698,NA,NA,0,0,0,0,0,0,0,0,10165,200,698,NA,1,3,1,73,85,0,0,0,0,0,752,0,0,4.01,1,1,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0.0327035,NA,-10,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"423",NA,700,NA,14942,1876,200700,NA,NA,0,0,0,0,0,0,0,0,10270,700,200,NA,0,2,0,NA,27270,0,1,1,0,0,227,0,0,4.01,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0.2349572,NA,NA,3,-6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"424",NA,750,NA,33274,1949,750760,NA,NA,0,0,0,0,0,0,0,0,47040,750,760,8,1,3,1,83,19920,0,1,1,0,0,644,0,0,4.01,1,1,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0.0514099,NA,-10,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"425",NA,701,NA,15087,1876,365701,NA,NA,0,0,0,0,0,0,0,0,38726,701,365,1,1,1,1,728000,NA,1,1,NA,0,0,228,0,1,4.01,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0.1015464,NA,NA,-10,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"426",NA,520,NA,18288,1889,325511,NA,NA,0,0,0,0,0,0,0,0,33440,511,325,8,0,1,0,259000,400000,0,1,0,0,0,322,0,1,4.01,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0.038127,NA,NA,-4,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"427",NA,912,NA,25975,1920,255900,NA,NA,0,0,0,0,0,0,0,0,27387,255,900,12,0,6,0,240870,400000,1,0,0,0,0,524,0,0,4.01,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0.0068601,0.0720215,0.0952507237422159,10,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"428",NA,1101,NA,41054,1981,2100,NA,NA,0,0,0,0,0,0,0,0,14102,2,100,7,1,3,0,10,0,1,0,0,0,0,822,0,0,4.01,1,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0.0036914,0.1365281,0.0270376574492723,8,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
