"","claim","entity","name","X","year","dyad","claimdy","dispnum3","mid1","window5","window10","window20","claim1","outstanding.claim.5","outstanding.claim.10","outstanding.claim.20","X.1","loser","gainer","month","gaintype","procedur","contgain","area","pop","portion","losetype","contlose","entry","exit","number","indep","conflict","version","agreement","nonviolent.agreement","arbadj2","arbadj0","rivnumb","rivalry","totdisp","rivtyp2","rivtypold","scale","rivals","conttype","cap1","cap2","caprat","polity1","polity2","joint.dem","DispNum3","DispNum41","StAbb1","ccode1","StDay1","StMon1","StYear1","EndDay1","EndMon1","EndYear1","SideA1","RevState1","RevType11","RevType21","Fatality1","FataPre1","HiAct1","HostLev1","Orig1","DispNum42","StAbb2","ccode2","SideA2","RevState2","RevType12","RevType22","Fatality2","FataPre2","HiAct2","HostLev2","Orig2","region","chal","tgt","begclaim","endclaim","resolved","endviol","icowsal","icowsalc","salchal","saltgt","saltan","salint","salintc","salintt","midsiss","midsfat","warsiss","existing.claim","new.claim.1","new.claim.5","new.claim.10","new.claim.20","cname","match","partial"
"365",NA,255,NA,33113,1949,211255,NA,NA,0,0,0,0,0,0,0,0,15446,255,211,4,1,3,1,18,NA,0,1,1,0,0,635,0,0,4.01,1,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0.0094229,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"366",NA,255,NA,33116,1949,212255,NA,NA,0,0,0,0,0,0,0,0,16034,255,212,4,1,3,1,6,NA,0,1,1,0,0,636,0,0,4.01,1,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0.0027704,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"367",NA,255,NA,33120,1949,220255,NA,NA,0,0,0,0,0,0,0,0,16825,255,220,4,1,3,1,7,NA,0,1,1,0,0,637,0,0,4.01,1,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0.0354923,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"368",NA,811,NA,12752,1867,220800,NA,NA,0,0,0,0,0,0,0,0,18703,220,800,NA,1,3,1,35641,NA,0,0,0,0,0,195,0,0,4.01,1,1,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0.1166648,NA,-10,-6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"369",NA,690,NA,20656,1899,200690,NA,NA,0,0,0,0,0,0,0,0,9313,690,200,1,0,2,0,15540,50000,1,1,NA,0,0,384,0,0,4.01,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0.1686449,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"370",NA,692,NA,11464,1862,200692,NA,NA,0,0,0,0,0,0,0,0,9472,692,200,NA,0,2,0,598,NA,1,1,NA,0,0,156,0,0,4.01,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0.2505943,NA,NA,3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"371",NA,256,NA,32625,1947,220260,NA,NA,0,0,0,0,0,0,1,1,17019,260,220,10,1,2,1,2567,874000,1,1,1,0,0,613,0,0,4.01,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0.0349788,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"372",NA,257,NA,12782,1867,255257,NA,NA,0,0,0,0,0,0,0,0,24588,257,255,7,1,5,1,6291,295242,1,1,NA,0,0,182,0,0,4.01,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0.0703193,NA,NA,-6,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"373",NA,822,NA,24404,1914,200822,NA,NA,0,0,0,0,0,0,0,0,12663,822,200,5,0,2,0,18985,180412,0,1,NA,0,0,452,0,0,4.01,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0.1379118,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"374",NA,823,NA,36573,1963,200820,NA,NA,0,0,0,0,0,0,0,0,12319,200,820,10,1,5,0,76115,478000,1,0,0,0,0,732,0,0,4.01,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0.0014998,0.0371322,0.0403908198275351,10,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
