"","gainer","loser","year","pop","month","gaintype","procedur","entity","contgain","area","portion","losetype","contlose","entry","exit","number","indep","conflict","version","agreement","nonviolentagreement","year2","arbadj2","cap_1","cap_2","majpow1","majpow2","contig","colcont","colony1","colony2","cwongo","cwongonm","cwinit","cwinitnm","cwdynm","cwhost1","cwhost2","cwkeynum","cwrevis1","cwrevis2","cwrevt11","cwrevt21","cwrevt12","cwrevt22","cwfatal1","cwfatex1","cwfatal2","cwfatex2","cwhiact1","cwhiact2","cwoutcm","cwsettle","ter","claim","dyadnum","name","begclaim","resolved","endviol","homec","homet","offshore","contc","contt","entirecl","resource","stratloc","idenc","ident","histc","histt","dyad","panel","window5","window10","window20","outstanding.claim5","outstanding.claim10","outstanding.claim20"
"40820",200,21,1933,289516,12,0,3,21,0,404519,1,1,NA,0,0,563,0,0,4.01,1,1,33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20021,565,0,0,0,0,0,0
"42650",200,101,1899,NA,10,0,3,101,0,155400,0,1,1,0,0,383,0,0,4.01,1,1,99,0,0.00061,0.168645,0,1,6,1,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,1,"Essequibo",1841,13,0,1,0,0,1,0,0,1,0,0,0,0,1,200101,588,1,1,1,1,1,1
"43838",200,160,1833,20,1,0,2,1163,0,11961,1,1,0,0,0,68,0,0,4.01,0,0,33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200160,597,1,1,1,0,0,0
"44229",200,210,1824,77756,3,0,3,827,0,1658,0,0,0,0,0,48,0,0,4.01,1,1,24,0,0.038843,0.329929,0,1,4,1,115,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200210,600,0,1,1,0,0,0
"44276",200,210,1871,120000,2,0,3,452,0,27534,0,0,0,0,0,204,0,0,4.01,1,1,71,0,0.007452,0.241563,0,1,4,1,115,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200210,600,0,0,0,0,0,0
"44490",200,211,1910,250000,6,0,3,490,0,38850,0,0,0,0,0,429,0,0,4.01,1,1,10,0,0.014847,0.116317,0,1,4,1,490,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200211,601,0,0,0,0,0,0
"44753",200,220,1898,NA,6,0,3,475,0,71500,0,0,0,0,0,372,0,0,4.01,1,1,98,1,0.082132,0.157431,1,1,3,1,433,420,1,152,0,0,0,4,4,152,1,1,1,NA,1,NA,0,0,0,0,17,17,6,1,1,420,1,"Borgu-Boussa-Badjibo-Forcados",1895,4,0,0,0,0,-2,-2,0,0,1,0,0,0,1,200220,603,0,0,0,1,1,1
"45104",200,230,1829,2300,NA,0,3,413,0,2034,1,0,0,0,0,61,0,0,4.01,1,1,29,0,0.033772,0.323044,0,1,6,1,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200230,607,0,0,0,0,0,0
"45653",200,255,1890,NA,7,0,3,501,0,3120,0,0,0,0,0,325,0,0,4.01,1,1,90,0,0.125959,0.179475,1,1,5,1,460,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,1,"Heligoland (Helgoland)",1884,4,0,1,0,1,4,5,0,0,1,1,1,0,1,200255,612,0,1,1,1,1,1
"45662",200,255,1899,89000,11,0,3,940,0,23310,0,0,0,0,0,382,0,0,4.01,1,1,99,0,0.126722,0.168645,1,1,5,1,460,452,0,0,0,0,0,1,4,237,0,1,0,NA,2,NA,0,0,0,0,0,15,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200255,612,1,1,1,0,0,0
"45682",200,255,1919,188000,5,0,6,462,0,32634,1,0,0,0,0,474,0,0,4.01,0,0,19,0,0.076849,0.110973,0,1,5,6,0,0,0,0,0,0,0,4,4,1269,1,0,1,NA,0,NA,NA,NA,0,0,14,16,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200255,612,1,1,1,0,0,0
"45683",200,255,1920,5000000,1,0,6,510,0,939361,1,0,0,0,0,501,0,0,4.01,0,0,20,0,0.072021,0.127636,0,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200255,612,1,1,1,0,0,0
"46630",200,325,1897,NA,12,0,3,625,0,1,0,0,0,0,0,361,0,0,4.01,1,1,97,0,0.03087,0.165821,1,1,6,1,5200,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200325,628,0,0,1,0,0,0
"48563",200,390,1850,40000,8,0,3,452,0,40,0,0,0,0,0,109,0,0,4.01,1,1,50,0,0.00505,0.304171,0,1,5,2,5,1061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200390,661,0,0,0,0,0,0
"49365",200,450,1911,NA,NA,0,3,450,0,800,0,1,1,0,0,433,0,0,4.01,1,1,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200450,676,0,0,0,0,0,0
"50088",200,511,1887,NA,5,0,3,501,0,7020,0,1,1,0,0,299,0,0,4.01,1,1,87,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200511,690,0,0,0,0,0,0
"50089",200,511,1889,NA,NA,0,3,520,0,10000,0,1,0,0,0,317,0,0,4.01,1,1,89,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200511,690,0,0,0,0,0,0
"50090",200,511,1890,150000,6,0,2,511,0,2642,1,1,NA,0,0,324,0,0,4.01,0,0,90,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200511,690,0,0,0,0,0,0
"50268",200,530,1897,NA,NA,0,3,530,0,20720,0,1,1,0,0,362,0,0,4.01,1,1,97,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200530,695,0,0,0,0,0,0
