"","gainer","loser","year","pop","month","gaintype","procedur","entity","contgain","area","portion","losetype","contlose","entry","exit","number","indep","conflict","version","agreement","nonviolentagreement","year2","arbadj2","cap_1","cap_2","majpow1","majpow2","contig","colcont","colony1","colony2","cwongo","cwongonm","cwinit","cwinitnm","cwdynm","cwhost1","cwhost2","cwkeynum","cwrevis1","cwrevis2","cwrevt11","cwrevt21","cwrevt12","cwrevt22","cwfatal1","cwfatex1","cwfatal2","cwfatex2","cwhiact1","cwhiact2","cwoutcm","cwsettle","ter","claim","dyadnum","name","begclaim","resolved","endviol","homec","homet","offshore","contc","contt","entirecl","resource","stratloc","idenc","ident","histc","histt","dyad","panel","window5","window10","window20","outstanding.claim5","outstanding.claim10","outstanding.claim20"
"52472",200,696,1892,NA,3,0,3,696,0,92100,1,1,NA,0,0,336,0,0,4.01,1,1,92,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200696,735,0,0,0,0,0,0
"52511",200,698,1854,350000,NA,0,3,698,0,73,1,1,1,0,0,120,0,0,4.01,1,1,54,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200698,736,0,0,0,0,0,0
"52550",200,700,1876,27270,NA,0,2,700,0,NA,0,1,1,0,0,227,0,0,4.01,0,0,76,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200700,737,0,0,0,0,0,0
"52551",200,700,1893,NA,11,0,3,700,0,104980,0,1,1,0,0,338,0,0,4.01,1,1,93,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200700,737,0,0,0,0,0,0
"52732",200,710,1842,33143,8,0,3,720,0,75,0,1,1,0,0,84,0,1,4.01,1,0,42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200710,743,0,0,0,0,0,0
"52733",200,710,1860,NA,10,0,3,720,0,6,0,1,1,0,0,140,0,1,4.01,1,0,60,0,0.174288,0.276446,0,1,6,1,0,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200710,743,0,0,0,0,0,0
"52771",200,710,1898,100000,6,0,3,720,0,953,0,1,1,0,0,373,0,0,4.01,1,1,98,0,0.123467,0.157431,0,1,6,1,0,750,0,0,0,0,0,1,3,309,0,1,0,NA,2,NA,0,0,0,0,0,7,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200710,743,1,1,1,0,0,0
"53375",200,760,1865,NA,11,0,2,760,0,8889,0,1,1,0,0,169,0,0,4.01,0,0,65,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200760,751,0,0,0,0,0,0
"53376",200,760,1910,250000,1,0,3,760,0,46600,1,1,NA,0,0,430,0,0,4.01,1,1,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200760,751,0,0,0,0,0,0
"53415",200,761,1839,NA,NA,0,2,761,0,3016,0,1,1,0,0,74,0,0,4.01,0,0,39,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200761,752,0,0,0,0,0,0
"53416",200,761,1890,30458,NA,1,3,761,0,7298,1,0,NA,0,0,327,0,0,4.01,1,1,90,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200761,752,0,0,0,0,0,0
"53517",200,775,1826,1222998,2,0,1,775,0,169098,0,1,1,0,0,55,0,1,4.01,0,0,26,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200775,755,0,0,0,0,0,0
"53518",200,775,1852,870180,12,0,1,775,0,83657,0,1,1,0,0,114,0,1,4.01,0,0,52,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200775,755,0,0,0,0,0,0
"53519",200,775,1886,4000000,1,0,1,775,0,492000,1,1,NA,0,0,291,0,1,4.01,0,0,86,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200775,755,0,0,0,0,0,0
"53642",200,781,1887,30000,NA,0,2,781,0,298,1,1,NA,0,0,298,0,0,4.01,0,0,87,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200781,757,0,0,0,0,0,0
"53687",200,790,1816,NA,3,0,3,790,0,1,0,1,1,0,0,4,0,1,4.01,1,0,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200790,758,0,0,0,0,0,0
"53799",200,800,1909,450000,3,0,3,822,0,38195,0,1,1,0,0,427,0,0,4.01,1,1,9,0,0.003202,0.11708,0,1,6,1,0,821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200800,759,0,0,0,0,0,0
"54140",200,821,1889,NA,NA,0,2,821,0,7334,0,1,1,0,0,316,0,0,4.01,0,0,89,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200821,765,0,0,0,0,0,0
"54141",200,822,1914,180412,5,0,2,822,0,18985,0,1,NA,0,0,452,0,0,4.01,0,0,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200822,766,0,0,0,0,0,0
"54186",200,835,1847,1385,1,0,3,8231,0,91,1,1,1,0,0,99,0,0,4.01,1,1,47,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200835,768,0,0,0,0,0,0
"54187",200,835,1888,45000,NA,0,2,835,0,5765,1,1,NA,0,0,306,0,0,4.01,0,0,88,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200835,768,0,0,0,0,0,0
"54633",200,950,1874,148040,12,0,2,950,0,18272,1,1,NA,0,0,218,0,0,4.01,0,0,74,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200950,779,0,0,0,0,0,0
"54673",200,955,1900,26000,12,0,2,955,0,700,1,1,NA,0,0,391,0,0,4.01,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200955,780,0,0,0,0,0,0
"54778",200,7507,1849,3000000,12,0,3,7507,0,259000,1,1,NA,0,0,106,0,0,4.01,1,1,49,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007507,786,0,0,0,0,0,0
"54779",200,7693,1843,1730323,2,0,2,7693,0,126340,1,1,NA,0,0,87,0,0,4.01,0,0,43,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007693,787,0,0,0,0,0,0
"55316",210,2,1928,NA,4,0,3,850,0,1,0,0,0,0,0,555,0,0,4.01,1,1,28,0,0.240072,0.005752,1,0,6,4,5,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,970,1,"Palmas Island",1906,3,0,0,0,1,-2,-2,0,0,0,0,0,0,1,2102,796,0,0,0,1,1,1
"55403",210,200,1824,93875,3,0,3,850,0,25089,0,0,0,0,0,49,0,0,4.01,1,1,24,0,0.329929,0.038843,1,0,4,1,110,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210200,799,0,1,1,0,0,0
"55942",210,235,1851,NA,NA,0,3,850,0,1,0,0,0,0,0,112,0,0,4.01,1,1,51,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210235,802,0,0,0,0,0,0
"55943",210,235,1859,1057800,4,0,3,850,0,15850,0,0,0,0,0,135,0,0,4.01,1,1,59,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210235,802,0,0,0,0,0,0
"56119",210,260,1949,9000,4,1,3,260,1,78,0,1,1,0,0,634,0,0,4.01,1,1,49,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210260,805,0,0,0,0,0,0
"56833",211,200,1906,250000,5,0,3,625,0,38850,0,0,0,0,0,418,0,0,4.01,1,1,6,0,0.12338,0.014697,1,0,4,1,500,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,211200,813,0,0,0,0,0,0
"56837",211,200,1910,NA,5,0,3,500,0,1,0,0,0,0,0,431,0,0,4.01,1,1,10,0,0.116317,0.014847,1,0,4,1,500,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526,1,"Mufumbiro",1908,3,0,0,0,0,-2,-2,0,0,1,0,0,0,1,211200,813,0,0,0,1,1,1
"56941",211,210,1839,171572,4,1,3,210,1,2416,0,1,1,0,0,76,0,0,4.01,1,1,39,0,0.01467,0.029771,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,211210,814,0,0,0,0,0,0
"57355",211,235,1891,NA,5,0,3,540,0,1,0,0,0,0,0,333,0,0,4.01,1,1,91,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,211235,817,0,0,0,0,0,0
"57356",211,235,1927,NA,7,0,3,540,0,3,0,0,0,0,0,552,0,0,4.01,1,1,27,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,604,1,"Dilolo Boot",1926,4,0,0,0,0,-2,-2,0,0,0,0,0,0,1,211235,817,0,0,0,0,0,0
"57447",211,255,1919,61000,6,1,3,255,1,1000,0,1,1,0,0,476,0,1,4.01,1,0,19,0,0.076849,0.00905,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,211255,818,1,1,1,0,0,0
"57452",211,255,1924,3000000,10,0,6,515,0,54222,1,0,0,0,0,543,0,0,4.01,0,0,24,0,0.079637,0.015122,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,211255,818,0,0,1,0,0,0
"57470",211,255,1949,NA,4,1,3,255,1,18,0,1,1,0,0,635,0,0,4.01,1,1,49,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,211255,818,0,0,0,0,0,0
"58328",212,255,1919,NA,6,1,3,255,1,3,0,1,1,0,0,477,0,0,4.01,1,1,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212255,829,0,0,1,0,0,0
"58352",212,255,1949,NA,4,1,3,255,1,6,0,1,1,0,0,636,0,0,4.01,1,1,49,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212255,829,0,0,0,0,0,0
"59677",220,70,1932,0,NA,0,3,960,0,5,0,1,0,0,0,560,0,0,4.01,1,1,32,0,0.006199,0.068938,0,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22070,850,0,0,0,0,0,0
"62123",220,200,1817,100000,NA,0,3,433,0,7819,1,0,0,0,0,28,0,0,4.01,1,1,17,0,0.327987,0.114489,1,1,3,1,420,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220200,870,0,0,1,0,0,0
"62204",220,200,1898,NA,6,0,3,430,0,13000,0,0,0,0,0,375,0,0,4.01,1,1,98,0,0.157431,0.082132,1,1,3,1,420,433,1,152,1,77,7701,4,4,152,1,1,1,NA,1,NA,0,0,0,0,17,17,6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220200,870,0,0,0,0,0,0
"62210",220,200,1904,NA,NA,0,3,438,0,16,0,0,0,0,0,410,0,0,4.01,1,1,4,0,0.134842,0.070254,1,1,3,1,420,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,2,"Badjibo & Forcados",1903,4,0,0,0,0,-2,-2,0,0,1,0,0,1,1,220200,870,0,0,0,1,1,1
"62650",220,211,1894,NA,8,0,3,490,0,1,0,0,0,0,0,347,0,0,4.01,1,1,94,0,0.016917,0.093133,0,1,1,1,490,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220211,873,0,0,0,0,0,0
"62847",220,221,1861,NA,NA,1,2,221,1,2,0,1,1,0,0,154,0,0,4.01,0,0,61,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220221,875,0,0,0,0,0,0
"63661",220,255,1919,1500000,5,0,6,471,0,432012,1,0,0,0,0,479,0,0,4.01,0,0,19,0,0.076849,0.061322,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220255,883,1,1,1,0,0,0
"63687",220,255,1949,NA,4,1,3,255,1,7,0,1,1,0,0,637,0,0,4.01,1,1,49,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220255,883,0,0,0,0,0,0
"63707",220,260,1947,874000,10,1,2,256,1,2567,1,1,1,0,0,613,0,0,4.01,0,0,47,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220260,884,0,0,0,0,0,0
"64569",220,325,1860,NA,3,1,3,325,1,14778,0,1,1,0,0,142,0,0,4.01,1,1,60,0,0.028628,0.12208,1,1,1,6,0,0,0,0,0,0,0,5,3,113,1,0,1,NA,0,NA,5,NA,0,0,20,7,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220325,899,1,1,1,0,0,0
"64656",220,325,1947,NA,2,1,3,325,1,1,0,1,1,0,0,612,0,1,4.01,1,0,47,0,0.018208,0.034979,0,1,1,4,0,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220325,899,0,0,0,0,0,0
"68765",220,580,1819,NA,NA,0,2,580,0,1,0,1,1,0,0,38,0,0,4.01,0,0,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220580,978,0,0,0,0,0,0
"68766",220,580,1885,12237,12,0,3,580,0,250,0,1,1,0,0,280,0,1,4.01,1,0,85,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220580,978,0,0,0,0,0,0
"68767",220,580,1896,3500000,12,0,1,580,0,590000,1,1,NA,0,0,359,0,1,4.01,0,0,96,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220580,978,0,0,0,0,0,0
"68818",220,581,1976,38000,2,0,4,5812,0,374,1,1,1,0,0,803,0,0,4.01,0,0,76,0,1.6e-05,0.02339,0,1,6,4,0,5812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220581,979,0,0,1,0,0,0
"68981",220,600,1903,62000,NA,0,1,600,0,499870,0,1,1,0,0,405,0,1,4.01,0,0,3,0,0.0014,0.072876,0,1,6,1,0,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220600,982,1,1,1,0,0,0
"68985",220,600,1907,NA,8,0,1,600,0,100,0,1,1,0,0,422,0,0,4.01,0,0,7,0,0.001253,0.070361,0,1,6,1,0,615,0,0,0,0,0,4,4,86,0,1,0,NA,2,NA,NA,NA,NA,NA,17,14,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220600,982,1,1,1,0,0,0
"68990",220,600,1912,5400000,3,0,2,600,0,398523,0,1,NA,0,0,437,0,0,4.01,0,0,12,0,3.9e-05,0.072231,0,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220600,982,1,1,1,0,0,0
"69147",220,616,1881,2100000,5,0,1,616,0,116348,1,1,NA,0,0,257,0,0,4.01,0,0,81,0,0.001133,0.110536,0,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220616,984,1,1,1,0,0,0
"69205",220,620,1955,NA,NA,0,3,620,0,26000,0,1,1,0,0,664,0,0,4.01,1,1,55,0,0.00019,0.030631,0,1,6,1,0,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220620,985,0,0,0,0,0,0
"69476",220,640,1830,73200,9,0,1,615,0,275317,0,1,1,0,0,65,0,0,4.01,0,0,30,0,0.054353,0.140124,0,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220640,988,1,1,1,0,0,0
"69566",220,640,1920,1969004,4,0,6,652,0,184920,1,1,1,0,0,502,0,0,4.01,0,0,20,0,0.005222,0.058175,0,1,6,1,0,652,1,3134,0,0,0,5,5,3134,0,1,0,NA,1,NA,6,NA,6,NA,20,20,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220640,988,1,1,1,0,0,0
"71665",220,800,1904,NA,2,0,3,800,0,20720,0,1,1,0,0,409,0,0,4.01,1,1,4,0,0.002652,0.070254,0,1,6,1,0,810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220800,1025,0,0,0,0,0,0
"71668",220,800,1907,NA,3,0,3,800,0,18130,0,1,1,0,0,423,0,0,4.01,1,1,7,0,0.003131,0.070361,0,1,6,1,0,810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,958,4,"Dan Sai-Cardamoms Peninsula-Ko Chang-Ko Kut",1906,4,0,1,0,0,1,1,0,1,1,1,0,1,1,220800,1025,0,0,0,1,1,1
"71767",220,811,1863,1000000,12,0,2,811,0,83861,1,1,NA,0,0,161,0,0,4.01,0,0,63,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220811,1026,0,0,0,0,0,0
