"","loser","year","month","gaintype","procedur","entity","contgain","area","pop","portion","losetype","contlose","entry","exit","number","indep","conflict","version","agreement","v21","nonviolentagreement","year2","arbadj2","cap_1","cap_2","majpow1","majpow2","contig","colcont","colony1","colony2","cwongo","cwongonm","cwinit","cwinitnm","cwdynm","cwhost1","cwhost2","cwkeynum","cwrevis1","cwrevis2","cwrevt11","cwrevt21","cwrevt12","cwrevt22","cwfatal1","cwfatex1","cwfatal2","cwfatex2","cwhiact1","cwhiact2","cwoutcm","cwsettle","polity21","polity22","ter","panel","lead1","lagtc1","window5","window10","window20","dyad","rivnumb","rivalry","rivala","rivalb","beginr","endr","totdisp","rivtyp2","rivtypold","rivals"
"170",200,1911,NA,1,3,451,1,800,NA,0,0,0,0,0,436,0,0,4.01,1,NA,1,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2378,0,NA,0,0,0,"450200",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"171",200,1957,3,1,5,462,1,33776,429000,1,0,0,0,0,679,0,0,4.01,0,NA,0,57,0,0.047319,0.00061,1,0,6,5,475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,NA,0,2398,0,NA,0,0,0,"452200",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"172",200,1961,2,1,5,472,1,42945,840000,0,0,0,0,0,711,0,0,4.01,0,0,0,61,0,0.040091,0.000394,1,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,NA,0,2418,0,NA,0,0,0,"471200",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"173",200,1961,2,1,5,472,1,45325,NA,0,0,0,0,0,712,0,0,4.01,0,NA,0,61,0,0.040091,0.00412,1,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,2431,0,NA,0,0,0,"475200",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"174",511,1887,5,0,3,501,0,7020,NA,0,1,1,0,0,299,0,0,4.01,1,NA,1,87,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,685,NA,NA,0,0,0,"200511",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"175",511,1889,NA,0,3,520,0,10000,NA,0,1,0,0,0,317,0,0,4.01,1,NA,1,89,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,685,NA,501,0,0,0,"200511",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"176",511,1890,6,0,2,511,0,2642,150000,1,1,NA,0,0,324,0,0,4.01,0,NA,0,90,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,685,0,520,0,0,0,"200511",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"177",200,1960,7,1,5,521,1,176120,650000,1,0,0,0,0,707,0,0,4.01,0,NA,0,60,0,0.042334,0.000253,1,0,6,4,681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,2567,0,NA,0,0,0,"520200",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"178",530,1897,NA,0,3,530,0,20720,NA,0,1,1,0,0,362,0,0,4.01,1,NA,1,97,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,690,0,NA,0,0,0,"200530",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"179",530,1902,5,0,3,530,0,292500,NA,0,1,1,0,0,396,0,0,4.01,1,NA,1,2,0,0.006563,0.161254,0,1,6,1,0,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,690,0,NA,0,0,0,"200530",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"180",562,1843,5,0,1,562,0,46620,121068,1,1,NA,0,0,88,0,1,4.01,0,NA,0,43,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,698,NA,NA,0,0,0,"200562",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"181",563,1877,4,0,2,563,0,285363,815000,1,1,NA,0,0,230,0,0,4.01,0,NA,0,77,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,699,NA,NA,0,0,0,"200563",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"182",563,1884,2,0,3,563,0,19500,NA,0,1,1,0,0,266,0,0,4.01,1,NA,1,84,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,699,NA,563,0,0,0,"200563",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"183",563,1902,5,0,1,563,0,286065,1000000,1,1,NA,0,0,397,0,1,4.01,0,NA,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,699,NA,563,0,0,0,"200563",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"184",200,1893,11,1,3,572,1,17363,55000,1,0,0,0,0,344,0,0,4.01,1,NA,1,93,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2686,NA,NA,0,0,0,"563200",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"185",564,1902,5,0,1,564,0,129153,200000,1,1,NA,0,0,398,0,1,4.01,0,NA,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,NA,NA,0,0,0,"200564",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"186",570,1868,12,0,2,570,0,21885,127700,1,1,NA,0,0,196,0,0,4.01,0,NA,0,68,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,702,0,NA,0,0,0,"200570",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"187",572,1890,NA,0,2,572,0,17363,55000,1,1,NA,0,0,326,0,0,4.01,0,NA,0,90,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,704,0,NA,0,0,0,"200572",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"188",200,1976,6,0,3,5920,1,27,NA,0,0,0,0,0,806,0,0,4.01,1,NA,1,76,0,0.026964,3e-06,1,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,NA,0,2748,0,NA,0,0,0,"591200",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"189",625,1899,12,0,1,625,0,2505823,2000000,1,1,NA,0,0,385,0,1,4.01,0,NA,0,99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,713,0,NA,0,0,0,"200625",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"190",640,1920,3,0,6,666,0,23310,757182,1,1,0,0,0,498,0,0,4.01,0,NA,0,20,1,0.005222,0.127636,0,1,6,1,0,645,0,0,0,0,0,1,4,327,0,1,0,NA,2,NA,0,0,0,0,0,14,5,3,NA,8,NA,715,0,NA,1,1,1,"200640",459,200640,200,640,"1827","1934",14,"RIVALRY","ENDURING",1
"191",640,1878,12,0,3,352,0,9251,186084,1,1,1,0,0,233,0,0,4.01,1,NA,1,78,1,0.026685,0.228253,0,1,6,1,0,681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,3,0,715,0,NA,0,0,0,"200640",459,200640,200,640,"1827","1934",14,"RIVALRY","ENDURING",0
"192",640,1906,5,0,3,666,0,1,NA,0,1,1,0,0,417,0,0,4.01,1,NA,1,6,1,0.017748,0.12338,0,1,6,1,0,651,0,0,1,156,15601,4,3,156,1,0,1,NA,0,NA,0,0,0,0,14,7,3,3,NA,8,1,715,0,NA,0,0,1,"200640",459,200640,200,640,"1827","1934",14,"RIVALRY","ENDURING",0
"193",640,1898,11,0,1,351,0,8614,294190,1,1,0,0,0,377,0,1,4.01,0,NA,0,98,1,0.020247,0.157431,0,1,6,1,0,651,0,0,0,0,0,1,4,391,0,1,0,NA,2,NA,0,0,0,0,0,16,4,3,NA,7,NA,715,0,NA,0,1,1,"200640",459,200640,200,640,"1827","1934",14,"RIVALRY","ENDURING",0
"194",640,1926,6,0,3,645,0,91009,703378,0,1,1,0,0,550,0,0,4.01,1,NA,1,26,1,0.007824,0.077437,0,1,6,1,0,645,1,3185,0,0,0,3,3,3185,1,0,1,NA,0,NA,0,0,0,0,7,7,6,1,NA,10,1,715,0,NA,0,0,0,"200640",459,200640,200,640,"1827","1934",14,"RIVALRY","ENDURING",0
"195",651,1882,9,0,1,651,0,1021081,6806381,1,1,NA,0,0,261,0,0,4.01,0,NA,0,82,0,0.004079,0.211676,0,1,6,6,0,0,0,0,0,0,0,5,5,3725,0,1,0,NA,2,NA,6,NA,2,NA,20,20,1,2,NA,7,NA,717,0,NA,0,0,0,"200651",464,200651,200,651,"1882","1882",1,"ISOLATED","ISOLATED",1
"197",200,1956,6,1,3,651,1,1,NA,0,0,0,0,0,675,0,0,4.01,1,NA,1,56,0,0.049224,0.005211,1,0,6,5,352,0,0,0,0,0,0,5,5,200,0,1,0,NA,2,NA,NA,NA,6,NA,20,20,2,2,10,NA,NA,2881,0,NA,0,0,0,"651200",464,200651,200,651,"1882","1882",1,"ISOLATED","ISOLATED",1
"199",678,1915,NA,0,2,678,0,182,NA,0,1,1,0,0,457,0,0,4.01,0,NA,0,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,723,0,NA,0,0,0,"200678",471,200678,200,678,"1949","1967",5,"RIVALRY","PROTO",0
"200",681,1851,NA,0,2,681,0,8,NA,0,1,1,0,0,111,0,0,4.01,0,NA,0,51,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,726,NA,NA,0,0,0,"200681",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"201",690,1899,1,0,2,690,0,15540,50000,1,1,NA,0,0,384,0,0,4.01,0,NA,0,99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,727,0,NA,0,0,0,"200690",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"202",692,1862,NA,0,2,692,0,598,NA,1,1,NA,0,0,156,0,0,4.01,0,NA,0,62,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,728,0,NA,0,0,0,"200692",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"203",694,1916,11,0,2,694,0,22014,25000,1,1,NA,0,0,460,0,0,4.01,0,NA,0,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,729,0,NA,0,0,0,"200694",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"204",696,1892,3,0,3,696,0,92100,NA,1,1,NA,0,0,336,0,0,4.01,1,NA,1,92,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,730,0,NA,0,0,0,"200696",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"205",200,1967,NA,1,3,698,1,73,85,0,0,0,0,0,752,0,0,4.01,1,NA,1,67,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3027,0,NA,0,0,0,"698200",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"206",698,1854,NA,0,3,698,0,73,350000,1,1,1,0,0,120,0,0,4.01,1,NA,1,54,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,731,0,NA,0,0,0,"200698",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"207",700,1893,11,0,3,700,0,104980,NA,0,1,1,0,0,338,0,0,4.01,1,NA,1,93,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,732,0,700,0,0,0,"200700",472,200700,200,700,"2001","2001",2,"ISOLATED","ISOLATED",1
"208",700,1876,NA,0,2,700,0,NA,27270,0,1,1,0,0,227,0,0,4.01,0,NA,0,76,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,732,NA,NA,0,0,0,"200700",472,200700,200,700,"2001","2001",2,"ISOLATED","ISOLATED",0
"209",200,1997,7,1,3,720,1,1084,6700000,1,0,0,0,0,871,0,0,4.01,1,NA,1,97,0,0.023646,0.142013,1,1,6,1,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,NA,0,3138,0,NA,0,0,0,"710200",474,200710,200,710,"1926","1927",2,"ISOLATED","ISOLATED",0
"212",710,1860,10,0,3,720,0,6,NA,0,1,1,0,0,140,0,1,4.01,1,NA,0,60,0,0.174288,0.276446,0,1,6,1,0,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,3,0,738,0,720,0,0,0,"200710",474,200710,200,710,"1926","1927",2,"ISOLATED","ISOLATED",1
"215",710,1842,8,0,3,720,0,75,33143,0,1,1,0,0,84,0,1,4.01,1,NA,0,42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,738,0,NA,0,0,0,"200710",474,200710,200,710,"1926","1927",2,"ISOLATED","ISOLATED",0
"218",200,1930,10,1,3,710,1,738,154416,0,0,0,0,0,559,0,0,4.01,1,NA,1,30,0,0.078414,0.125885,1,0,6,1,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,NA,0,3138,0,NA,0,0,0,"710200",474,200710,200,710,"1926","1927",2,"ISOLATED","ISOLATED",0
"221",710,1898,6,0,3,720,0,953,100000,0,1,1,0,0,373,0,0,4.01,1,NA,1,98,0,0.123467,0.157431,0,1,6,1,0,750,0,0,0,0,0,1,3,309,0,1,0,NA,2,NA,0,0,0,0,0,7,4,1,NA,7,NA,738,0,NA,0,0,0,"200710",474,200710,200,710,"1926","1927",2,"ISOLATED","ISOLATED",0
"224",7507,1849,12,0,3,7507,0,259000,3000000,1,1,NA,0,0,106,0,0,4.01,1,NA,1,49,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,781,NA,NA,0,0,0,"2007507",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"225",760,1865,11,0,2,760,0,8889,NA,0,1,1,0,0,169,0,0,4.01,0,NA,0,65,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,746,NA,NA,0,0,0,"200760",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"226",760,1910,1,0,3,760,0,46600,250000,1,1,NA,0,0,430,0,0,4.01,1,NA,1,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,746,0,760,0,0,0,"200760",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"227",761,1839,NA,0,2,761,0,3016,NA,0,1,1,0,0,74,0,0,4.01,0,NA,0,39,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,747,NA,NA,0,0,0,"200761",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"228",761,1890,NA,1,3,761,0,7298,30458,1,0,NA,0,0,327,0,0,4.01,1,NA,1,90,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,747,NA,761,0,0,0,"200761",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"229",7693,1843,2,0,2,7693,0,126340,1730323,1,1,NA,0,0,87,0,0,4.01,0,NA,0,43,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,782,NA,NA,0,0,0,"2007693",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"230",775,1826,2,0,1,775,0,169098,1222998,0,1,1,0,0,55,0,1,4.01,0,NA,0,26,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,750,NA,NA,0,0,0,"200775",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"231",775,1852,12,0,1,775,0,83657,870180,0,1,1,0,0,114,0,1,4.01,0,NA,0,52,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,750,NA,775,0,0,0,"200775",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"232",775,1886,1,0,1,775,0,492000,4000000,1,1,NA,0,0,291,0,1,4.01,0,NA,0,86,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,750,0,775,0,0,0,"200775",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"233",781,1887,NA,0,2,781,0,298,30000,1,1,NA,0,0,298,0,0,4.01,0,NA,0,87,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,752,0,NA,0,0,0,"200781",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"234",790,1816,3,0,3,790,0,1,NA,0,1,1,0,0,4,0,1,4.01,1,NA,0,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,753,0,NA,0,0,0,"200790",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"235",800,1909,3,0,3,822,0,38195,450000,0,1,1,0,0,427,0,0,4.01,1,NA,1,9,0,0.003202,0.11708,0,1,6,1,0,821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,8,0,754,0,NA,0,0,0,"200800",482,200800,200,800,"1942","1945",1,"ISOLATED","ISOLATED",0
"236",200,1963,10,1,5,830,1,583,1733000,1,0,0,0,0,731,0,0,4.01,0,NA,0,63,0,0.037132,0.0015,1,0,6,1,835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,3676,0,NA,0,0,0,"820200",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"237",821,1889,NA,0,2,821,0,7334,NA,0,1,1,0,0,316,0,0,4.01,0,NA,0,89,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,760,NA,NA,0,0,0,"200821",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"238",822,1914,5,0,2,822,0,18985,180412,0,1,NA,0,0,452,0,0,4.01,0,NA,0,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,761,NA,NA,0,0,0,"200822",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"239",835,1888,NA,0,2,835,0,5765,45000,1,1,NA,0,0,306,0,0,4.01,0,NA,0,88,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,763,0,8231,0,0,0,"200835",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"240",835,1847,1,0,3,8231,0,91,1385,1,1,1,0,0,99,0,0,4.01,1,NA,1,47,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,763,NA,NA,0,0,0,"200835",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"241",200,1958,10,0,3,9002,0,135,3361,1,0,0,0,0,687,0,0,4.01,1,NA,1,58,0,0.045203,0.007253,1,0,6,2,940,910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,3730,0,NA,0,0,0,"900200",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"242",200,1955,11,0,3,9002,0,14,500,1,0,0,0,0,668,0,0,4.01,1,NA,1,55,0,0.050593,0.006789,1,0,6,2,940,910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,3730,0,NA,0,0,0,"900200",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"243",200,1947,12,0,3,9005,0,412,0,1,0,0,0,0,623,0,0,4.01,1,NA,1,47,0,0.091218,0.009294,1,0,6,3,940,912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,3730,0,NA,0,0,0,"900200",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"244",200,1926,2,0,3,9201,0,6,1033,1,0,0,0,0,551,0,0,4.01,1,NA,1,26,0,0.077437,0.000991,1,0,6,4,955,990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,3746,0,NA,0,0,0,"920200",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"245",950,1874,12,0,2,950,0,18272,148040,1,1,NA,0,0,218,0,0,4.01,0,NA,0,74,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,774,0,NA,0,0,0,"200950",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"246",955,1900,12,0,2,955,0,700,26000,1,1,NA,0,0,391,0,0,4.01,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,775,0,NA,0,0,0,"200955",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"247",200,1948,7,1,5,21,1,404519,324000,1,0,0,0,0,628,0,0,4.01,0,NA,0,48,0,0.075426,0.012593,1,0,6,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,210,0,NA,0,0,0,"20200",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"248",2,1981,7,1,3,1101,0,10,0,1,0,0,0,0,822,0,0,4.01,1,NA,1,81,0,0.136528,0.003691,1,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,404,0,NA,0,0,0,"1002",29,2100,2,100,"1834","1834",1,"ISOLATED","ISOLATED",0
"251",210,1839,12,1,3,212,1,4408,176493,0,1,1,0,0,77,0,0,4.01,1,NA,1,39,0,0.01467,0.029771,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,806,0,NA,0,0,0,"211210",489,210211,210,211,"1831","1833",2,"ISOLATED","ISOLATED",0
"252",235,1851,NA,0,3,850,0,1,NA,0,0,0,0,0,112,0,0,4.01,1,NA,1,51,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,795,NA,NA,0,0,0,"210235",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"253",235,1859,4,0,3,850,0,15850,1057800,0,0,0,0,0,135,0,0,4.01,1,NA,1,59,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,795,NA,850,0,0,0,"210235",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
